Food_Item,Calories,Protein_g,Fat_g,Carbs_g
hot tea (garam chai),16.14,0.39,0.53,2.58
instant coffee,23.16,0.64,0.75,3.65
espreso coffee,51.54,1.75,2.14,6.62
iced tea,10.34,0.03,0.01,2.7
raw mango drink (aam panna),35.92,0.16,0.03,9.05
fruit punch (with fresh juices),36.12,0.14,0.03,9.38
fruit punch (with squashes),23.13,0.07,0.02,5.99
lemonade,20.8,0.03,0.01,5.48
lem-o-gin,21.52,0.08,0.03,5.55
cumin infused water (jeere/zeere ka pani),9.09,0.17,0.11,1.86
coco pine cooler,32.75,0.56,1.0,5.72
summer cooler,22.43,0.37,0.04,5.43
hot cocoa,90.1,3.36,4.56,9.23
cold coffee with ice cream,67.85,1.57,2.11,11.24
banana milkshake (kele milkshake),65.31,1.84,2.37,9.15
mango milkshake (aam milkshake),56.9,1.73,2.35,7.23
pineapple milkshake (ananas milkshake),55.72,1.66,2.23,7.62
orange milkshake (narangi milkshake),57.42,1.86,2.52,7.11
egg nog,97.14,4.78,5.11,8.15
sweet lassi (meethi lassi),35.66,1.29,0.68,6.51
lassi (salted),18.84,1.35,0.72,1.86
cheese and chilli sandwich,218.11,6.8,9.78,27.4
egg sandwich (ande ka sandwich),285.96,8.69,15.8,29.16
cucumber sandwich (kheere ka sandwich),188.6,4.8,8.0,25.77
cheese and pineapple sandwich (cheese aur ananas ka sandwich),257.71,8.2,12.8,29.1
cheese and tomato sandwich (cheese aur tamatar ke sandwich),243.32,7.92,12.27,26.92
chicken sandwich,253.27,13.12,11.75,25.38
peanut and tomato sandwich (moongfali aur tamatar ka sandwich),291.43,9.53,16.14,28.54
rainbow sandwich,272.75,7.75,12.54,34.26
club sandwich,235.32,7.31,15.12,18.51
vegetarian club sandwich,198.33,5.45,11.33,19.68
pin wheel sandwich,311.52,8.77,24.93,14.0
carrot apple sandwich (gajar aur seb ka sandwich),214.11,5.3,9.12,29.04
salami sandwich,255.59,8.7,15.51,21.54
vegetable and mayonnaise sandwich,244.26,4.47,15.4,23.2
egg and tomato sandwich (ande aur tamatar ka sandwich),222.11,7.66,10.51,25.9
sweet open sandwich,244.25,4.99,8.15,39.24
mushroom and cheese sandwich (toasted),227.42,7.79,13.01,21.01
cheese and tomato sandwich (toasted) (cheese aur tamatar ke sandwich (toasted)),224.58,6.82,12.95,21.42
pea potato sandwich (toasted) (matar aloo ka sandwich),164.9,4.6,5.43,25.17
paneer pea sandwich (toasted) (paneer matar ka sandwich),249.56,12.4,11.98,24.05
chicken sandwich (toasted),167.37,12.08,5.32,18.82
pea keema sandwich (toasted) (matar aur keema ka sandwich),171.78,11.06,5.61,20.26
classic club sandwich,200.83,6.74,11.56,18.49
sesame toast,495.19,1.9,49.38,11.15
cracked wheat porridge (meetha daliya),81.57,2.64,4.08,8.87
semolina porridge (suji/rava daliya),100.89,3.75,4.08,12.39
oatmeal porridge,72.85,2.6,3.22,8.77
cornflakes with milk,117.33,3.59,5.12,14.95
rice flakes (chiwda/aval),112.44,3.62,3.99,15.57
wheat flakes,112.44,3.62,3.99,15.57
murmura (puffed rice),113.32,3.62,4.04,15.67
puffed wheat (murmure/moori),113.32,3.62,4.04,15.67
boiled egg (ubla anda),45.35,4.43,3.04,0.12
fried egg,223.67,11.59,19.62,0.31
poached egg,123.87,11.98,8.19,0.37
scrambled egg (ande ki bhurji),155.97,10.29,12.21,1.35
baked egg,218.85,11.88,12.65,15.42
plain omelette/omlet,272.41,9.66,25.74,0.64
stuffed egg omelette/omlet,203.51,8.6,17.77,2.3
pancake,203.36,5.68,10.82,20.49
keema pancake,176.27,9.01,11.25,9.56
vegetable pancake,125.18,3.87,6.57,12.24
jam and fruit pancake,162.02,3.79,7.01,20.73
khoa and coconut pancake,271.98,6.98,15.29,27.32
brown stock,21.32,1.95,1.38,0.25
